Approach,Mechanism,Missingness,N,AUROC_Mean,AUROC_CI_Lower,AUROC_CI_Upper,AUPRC_Mean,AUPRC_CI_Lower,AUPRC_CI_Upper,Brier_Mean,Brier_CI_Lower,Brier_CI_Upper,ECE_Mean,ECE_CI_Lower,ECE_CI_Upper
Explicit Imputation,MAR,10,20,0.9179910714285715,0.9042455683688881,0.9317365744882549,0.9652915245717967,0.9589463474308222,0.9716367017127712,0.13476320833035527,0.12144103562333572,0.1480853810373748,0.1529877701911199,0.1402543250057079,0.1657212153765319
Explicit Imputation,MAR,20,20,0.8816071428571428,0.8632001806745512,0.9000141050397344,0.9458637621068879,0.936117764078138,0.9556097601356379,0.15510420476121944,0.139184301521541,0.1710241080008979,0.1638440658703592,0.14615298504972643,0.181535146690992
Explicit Imputation,MAR,30,20,0.8419196428571428,0.8182012065678959,0.8656380791463898,0.9242533949168086,0.911196200796078,0.9373105890375392,0.17311081259656116,0.15633118145016053,0.1898904437429618,0.16834292348985577,0.15221195207950242,0.18447389490020913
Explicit Imputation,MAR,40,20,0.8212053571428571,0.7974732082323203,0.844937506053394,0.9169026359991594,0.9042618245919971,0.9295434474063218,0.18576763958654302,0.1686208911386496,0.20291438803443645,0.18039360871794177,0.16241898962057577,0.19836822781530777
Explicit Imputation,MAR,50,20,0.7652232142857143,0.7366681997661478,0.7937782288052807,0.8877163558279946,0.8732879623837562,0.902144749272233,0.211951626224409,0.19769655549222354,0.22620669695659446,0.19102863504313955,0.17557809279609574,0.20647917729018336
Explicit Imputation,MCAR,10,20,0.9077678571428572,0.8958018044000999,0.9197339098856145,0.9609509233902391,0.9550658341643662,0.9668360126161121,0.13644893188554666,0.1258234805399621,0.14707438323113123,0.14768572588286857,0.13348175738187248,0.16188969438386466
Explicit Imputation,MCAR,20,20,0.8763839285714287,0.8556757840665625,0.8970920730762948,0.9457154373457207,0.9361910341644862,0.9552398405269552,0.15793096781716237,0.14199915194154183,0.1738627836927829,0.1650539799383385,0.14829043731374134,0.18181752256293568
Explicit Imputation,MCAR,30,20,0.8720089285714285,0.8521740449124681,0.891843812230389,0.9441733730166648,0.9351491762411402,0.9531975697921894,0.1579955304988337,0.14321141180335797,0.1727796491943094,0.16055640307638575,0.1461514073448556,0.1749613988079159
Explicit Imputation,MCAR,40,20,0.8303571428571429,0.8066959183202692,0.8540183673940166,0.9233761037415119,0.9128142679344483,0.9339379395485755,0.1802903104541621,0.1633323092342493,0.19724831167407492,0.1757870918450256,0.15741685449464057,0.19415732919541065
Explicit Imputation,MCAR,50,20,0.8065178571428572,0.7802946720923002,0.8327410421934142,0.9096512259939479,0.8965175966146319,0.9227848553732638,0.18781404626632642,0.17144122917077015,0.2041868633618827,0.1829698481103953,0.16595963608845352,0.19998006013233707
