Approach,Mechanism,Missingness,N,AUROC_Mean,AUROC_CI_Lower,AUROC_CI_Upper,AUPRC_Mean,AUPRC_CI_Lower,AUPRC_CI_Upper,Brier_Mean,Brier_CI_Lower,Brier_CI_Upper,ECE_Mean,ECE_CI_Lower,ECE_CI_Upper
Explicit Imputation,MAR,10,20,0.6477673075224611,0.6468205461268655,0.6487140689180568,0.20334162059879962,0.20243180441030842,0.20425143678729082,0.21907495991957798,0.218892120391235,0.21925779944792095,0.3441412800899197,0.3438834050584556,0.34439915512138375
Explicit Imputation,MAR,20,20,0.6402029429442636,0.6393467692699648,0.6410591166185624,0.19703648977603092,0.1956527262497205,0.19842025330234134,0.22090584381094858,0.22068241183766665,0.2211292757842305,0.34681745684910026,0.3464380576778916,0.3471968560203089
Explicit Imputation,MAR,30,20,0.6323583444293625,0.630989898405181,0.6337267904535439,0.1907373158804227,0.18891792359627166,0.19255670816457374,0.2227472951925625,0.22251873840127626,0.22297585198384876,0.34944813763742,0.349048724767038,0.349847550507802
Explicit Imputation,MAR,40,20,0.6235340658380545,0.6222196910551806,0.6248484406209284,0.18415862943712166,0.1820989214986459,0.18621833737559743,0.22492119533789365,0.22464941280485373,0.22519297787093356,0.35223507655071973,0.35182654790508255,0.3526436051963569
Explicit Imputation,MAR,50,20,0.6152189675656015,0.6135921202764055,0.6168458148547974,0.17756042469493102,0.17549850051939345,0.1796223488704686,0.22724788499184276,0.22698173315354872,0.2275140368301368,0.3554393284861795,0.35502447214117494,0.35585418483118403
Explicit Imputation,MCAR,10,20,0.6473668210480013,0.6459665514489419,0.6487670906470606,0.20302123643501785,0.2018009869286818,0.20424148594135388,0.21926151818237197,0.219054634189744,0.21946840217499994,0.3446322838264534,0.34429815047861567,0.3449664171742911
Explicit Imputation,MCAR,20,20,0.6387763662945362,0.6374541154279114,0.6400986171611609,0.19603342562168552,0.1948226612435266,0.19724418999984444,0.22117089114006677,0.22097149534083585,0.2213702869392977,0.3475325068625467,0.3472187497611263,0.3478462639639671
Explicit Imputation,MCAR,30,20,0.6298463110789616,0.6278721274385695,0.6318204947193538,0.18905717628364166,0.1869389259444224,0.1911754266228609,0.22331272976919697,0.22311386860129245,0.2235115909371015,0.3505478733970066,0.3502576221800599,0.3508381246139533
Explicit Imputation,MCAR,40,20,0.6198498828473129,0.6178397050976416,0.6218600605969842,0.1814603373493363,0.17944842205486136,0.18347225264381126,0.22573978948340315,0.2254240501815499,0.2260555287852564,0.35393382411854996,0.3535646360635287,0.3543030121735712
Explicit Imputation,MCAR,50,20,0.609612726730768,0.6068966845514082,0.6123287689101279,0.1742636408263363,0.1717958590222923,0.1767314226303803,0.22821721805121137,0.22786735674657083,0.2285670793558519,0.3574443519095864,0.3570051411923032,0.3578835626268696
Explicit Imputation,MNAR,10,20,0.6450273669582646,0.6437901869280437,0.6462645469884855,0.2009068673528652,0.19938226067004178,0.20243147403568862,0.21943898179002938,0.21925846643586897,0.2196194971441898,0.3445879062888065,0.34435527728240495,0.344820535295208
Explicit Imputation,MNAR,20,20,0.6360727266143714,0.6343568774739557,0.6377885757547871,0.1932169871346912,0.1915612061558747,0.1948727681135077,0.22151991590537445,0.22129063957991654,0.22174919223083236,0.34757423884443694,0.3472744043177168,0.3478740733711571
Explicit Imputation,MNAR,30,20,0.6292145076766112,0.6273559109776173,0.6310731043756052,0.18630882932678866,0.1843000899126025,0.18831756874097483,0.2234072688863849,0.2230717326402791,0.2237428051324907,0.3506134323270437,0.35013447867679665,0.3510923859772907
Explicit Imputation,MNAR,40,20,0.617842647897886,0.6153014428363139,0.6203838529594581,0.17762268578660817,0.17526866543205688,0.17997670614115946,0.22581727512221955,0.22554619655480684,0.22608835368963226,0.3537340986397906,0.3534073976685984,0.3540607996109828
Explicit Imputation,MNAR,50,20,0.6046483699009799,0.602836587859433,0.6064601519425269,0.16831126492779458,0.16658349319680607,0.1700390366587831,0.22829908940564891,0.22800122493459996,0.22859695387669787,0.3569653424855413,0.3565792461488343,0.3573514388222483
Native,MAR,10,20,0.6453954979793382,0.6442479492861626,0.6465430466725137,0.1978500011766,0.1967446453027126,0.19895535705048742,0.20454794753697633,0.20431941139700582,0.20477648367694684,0.31901181040257964,0.3186609761996,0.3193626446055593
Native,MAR,20,20,0.6383919257483223,0.6369675024670903,0.6398163490295542,0.19193910879864368,0.19050838952563084,0.1933698280716565,0.20547168338233077,0.20516062727961254,0.205782739485049,0.3201413799027673,0.3196750182129061,0.3206077415926285
Native,MAR,30,20,0.6301998955693635,0.6285179857948219,0.6318818053439051,0.1844775438142972,0.1824189598261788,0.1865361278024156,0.207304960807341,0.20688597040892823,0.2077239512057538,0.32255750418280754,0.3219866292552014,0.3231283791104137
Native,MAR,40,20,0.6212170113966147,0.6201578681555202,0.6222761546377091,0.1779431421532398,0.17599038889313018,0.17989589541334944,0.2099101252718508,0.20955289132761207,0.21026735921608952,0.3259610886217281,0.32538939373995357,0.3265327835035027
Native,MAR,50,20,0.613085304727628,0.6110839745022432,0.6150866349530129,0.17102044570350122,0.1692649289911507,0.17277596241585175,0.21309273286265382,0.21271820492563165,0.21346726079967598,0.33009614282561006,0.3295685495864691,0.33062373606475104
Native,MCAR,10,20,0.6449400232447411,0.6435859990569409,0.6462940474325413,0.19648753240943084,0.19529637597350813,0.19767868884535356,0.2046699370541131,0.20438533466226855,0.20495453944595765,0.3190566327432923,0.31861764099638573,0.3194956244901989
Native,MCAR,20,20,0.6353498794016816,0.6336500017484666,0.6370497570548966,0.18894968854159822,0.18740370307254495,0.19049567401065148,0.2057371556611299,0.20536994642272835,0.20610436489953146,0.32051247226220203,0.3199680667998354,0.32105687772456865
