Dataset,Approach,Mechanism,Missingness,AUROC_Mean,AUROC_SD,ECE_Mean,ECE_SD
readmission,Explicit Imputation,MAR,10,0.6477673075224611,0.002022932163216891,0.3441412800899197,0.0005509980631508991
readmission,Explicit Imputation,MAR,20,0.6402029429442636,0.0018293746144443532,0.34681745684910026,0.0008106570353482925
readmission,Explicit Imputation,MAR,30,0.6323583444293625,0.0029239399587064462,0.34944813763742,0.0008534200334500642
readmission,Explicit Imputation,MAR,40,0.6235340658380545,0.0028084066747608477,0.35223507655071973,0.0008728975861281767
readmission,Explicit Imputation,MAR,50,0.6152189675656015,0.003476062417908303,0.3554393284861795,0.0008864178950772552
readmission,Explicit Imputation,MCAR,10,0.6473668210480013,0.0029919369571777417,0.3446322838264534,0.0007139381678305456
readmission,Explicit Imputation,MCAR,20,0.6387763662945362,0.0028252353955070092,0.3475325068625467,0.0006704005199764559
readmission,Explicit Imputation,MCAR,30,0.6298463110789616,0.004218211262968739,0.3505478733970066,0.000620175817165485
readmission,Explicit Imputation,MCAR,40,0.6198498828473129,0.004295119385422775,0.35393382411854996,0.000788839082637124
readmission,Explicit Imputation,MCAR,50,0.609612726730768,0.0058033302866386536,0.3574443519095864,0.0009384555502104477
readmission,Explicit Imputation,MNAR,10,0.6450273669582646,0.002643465699453102,0.3445879062888065,0.0004970552256735421
readmission,Explicit Imputation,MNAR,20,0.6360727266143714,0.0036662314597132625,0.34757423884443694,0.0006406523444732551
readmission,Explicit Imputation,MNAR,30,0.6292145076766112,0.003971238221513847,0.3506134323270437,0.0010233737331095906
readmission,Explicit Imputation,MNAR,40,0.617842647897886,0.005429758201272197,0.3537340986397906,0.0006980575100055234
readmission,Explicit Imputation,MNAR,50,0.6046483699009799,0.0038712099813470327,0.3569653424855413,0.0008249667775410401
readmission,Native,MAR,10,0.6453954979793382,0.002451951643868898,0.31901181040257964,0.0007496226572668368
readmission,Native,MAR,20,0.6383919257483223,0.00304354580049811,0.3201413799027673,0.0009964686630666384
readmission,Native,MAR,30,0.6301998955693635,0.0035937136794728314,0.32255750418280754,0.0012197806729350462
readmission,Native,MAR,40,0.6212170113966147,0.002263056919970497,0.3259610886217281,0.0012215326578250525
