Approach,Missingness,MCAR_AUROC,MAR_AUROC,Absolute_Gap,Gap_SE,Gap_Over_SE,Paired_t_stat,Paired_t_p,Wilcoxon_stat,Wilcoxon_p,Gap_Ge_0_01
Native,10,0.9302678571428572,0.9324107142857144,0.002142857142857141,0.004592336468808624,0.46661588440035534,-0.46661588440035534,0.6460805798382723,79.5,0.5326648200670738,False
Native,20,0.9008928571428572,0.9027678571428572,0.0018749999999999878,0.009382694658221011,0.19983598191135143,-0.19983598191135143,0.8437321231360115,104.0,0.9702145698889482,False
Native,30,0.8862500000000001,0.8809821428571428,0.005267857142857152,0.011039454040647788,0.47718457121707786,0.47718457121707786,0.6386735826754502,83.5,0.42213524686051795,False
Native,40,0.8547321428571427,0.8357142857142857,0.01901785714285712,0.016414096986652003,1.1586295096417734,1.1586295096417734,0.2609631886780602,72.0,0.2305126190185547,True
Native,50,0.831607142857143,0.7999553571428571,0.03165178571428571,0.015122557386585776,2.0930180593900025,2.0930180593900025,0.050000592888216504,52.0,0.04844093322753906,True
Explicit Imputation,10,0.9077678571428572,0.9179910714285715,0.010223214285714294,0.006997905104570781,1.4608963872683636,-1.4608963872683636,0.1603844951776506,60.5,0.09650719319172976,True
Explicit Imputation,20,0.8763839285714287,0.8816071428571428,0.005223214285714267,0.010835249764218978,0.48205758052414993,-0.4820575805241499,0.6352713802228629,101.5,0.8959867723188395,False
Explicit Imputation,30,0.8720089285714285,0.8419196428571428,0.030089285714285707,0.01386920728499959,2.1695029208215195,2.1695029208215195,0.042935011953094106,52.0,0.04844093322753906,True
Explicit Imputation,40,0.8303571428571429,0.8212053571428571,0.009151785714285692,0.015990275868843155,0.5723344480952844,0.5723344480952844,0.5738059317083839,83.5,0.42213524686051795,False
Explicit Imputation,50,0.8065178571428572,0.7652232142857143,0.04129464285714286,0.018053301719462633,2.2873734399854713,2.2873734399854713,0.03381550449337737,47.0,0.029575347900390625,True
