Approach,Missingness,MCAR_AUROC,MAR_AUROC,Absolute_Gap,Gap_SE,Gap_Over_SE,Paired_t_stat,Paired_t_p,Wilcoxon_stat,Wilcoxon_p,Gap_Ge_0_01
Native,10,0.6449400232447411,0.6453954979793382,0.0004554747345969168,0.0006253698814671698,0.7283285429869681,-0.7283285429869681,0.47529407136655477,83.0,0.4304332733154297,False
Native,20,0.6353498794016816,0.6383919257483223,0.0030420463466407643,0.0009339903436916079,3.2570426099021965,-3.2570426099021965,0.0041475396878683495,35.0,0.0072956085205078125,False
Native,30,0.6259925019650449,0.6301998955693635,0.0042073936043187325,0.0014932825249430706,2.817546937060108,-2.817546937060108,0.010994914511359637,31.0,0.0042209625244140625,False
Native,40,0.6149211079455943,0.6212170113966147,0.006295903451020263,0.0011230855189654203,5.605898522153515,-5.605898522153514,2.092608822760532e-05,8.0,4.76837158203125e-05,False
Native,50,0.6048002711115361,0.613085304727628,0.008285033616091852,0.0015389487167174905,5.383567058532958,-5.383567058532958,3.399835102271662e-05,11.0,0.0001049041748046875,False
Explicit Imputation,10,0.6473668210480013,0.6477673075224611,0.00040048647445981576,0.0008295831976456875,0.4827562510865394,-0.4827562510865394,0.6347842663998601,95.0,0.7285060882568359,False
Explicit Imputation,20,0.6387763662945362,0.6402029429442636,0.0014265766497275623,0.0006127173850758543,2.3282783946973407,-2.32827839469734,0.031093320979663108,49.0,0.03623390197753906,False
Explicit Imputation,30,0.6298463110789616,0.6323583444293625,0.0025120333504008107,0.001141910651672939,2.1998510537760496,-2.1998510537760496,0.04039322969623285,54.0,0.058258056640625,False
Explicit Imputation,40,0.6198498828473129,0.6235340658380545,0.003684182990741386,0.001050046982819261,3.508588711763885,-3.5085887117638848,0.0023491064110382582,29.0,0.0031528472900390625,False
Explicit Imputation,50,0.609612726730768,0.6152189675656015,0.005606240834833376,0.0018302057204948104,3.0631752332834394,-3.0631752332834394,0.0063987914795580235,35.0,0.0072956085205078125,False
